trip_month,trip_day,trip_day_of_week,trip_hour,trip_duration,trip_distance,payment_type,pickup_zone,dropoff_zone,tip_bin
7,5,5,19,219,0.9,3,70,138,0
7,6,6,10,1892,5,3,230,265,0
7,8,1,15,4,0,2,230,230,0
7,11,4,15,165,0.4,3,132,132,0
7,19,5,7,6,0,2,234,234,0
7,29,1,3,7,0,2,162,162,0
7,19,5,20,28,0,2,163,163,0
7,20,6,14,4,0,3,170,170,0
7,20,6,13,3430,3,2,193,146,0
7,20,6,9,15,0,3,100,100,0
7,21,7,9,79,0,2,132,132,0
7,20,6,6,20,0,3,264,264,0
7,17,3,13,28,0,3,90,90,0
7,23,2,23,78,0,2,265,265,0
7,22,1,20,35,0,2,129,129,0
7,8,1,2,1685,13.1,1,148,265,1
7,21,7,2,62,0,1,265,265,1
7,13,6,17,21,0,1,138,138,1
7,22,1,2,949,4.7,2,48,265,0
7,22,1,9,1108,5,2,164,265,0
7,22,1,16,1373,8,3,48,265,0
7,2,2,21,1832,12.6,2,48,265,0
7,29,1,22,2621,18.2,2,132,164,0
7,21,7,12,329,0.2,3,48,48,0
7,28,7,13,476,4.4,3,265,265,0
7,18,4,14,25,0,1,42,42,0
7,31,3,19,7,0,1,193,193,0
7,9,2,21,6,0,2,193,193,0
7,2,2,21,4,0,1,193,193,0
7,29,1,19,12,0,1,7,7,0
7,11,4,20,2876,35.8,1,132,1,0
7,1,1,11,1652,13.19,1,144,1,0
7,2,2,13,3184,17.65,2,132,181,0
7,5,5,12,2900,19.4,2,132,25,0
7,25,4,10,3000,18.48,2,249,55,0
7,8,1,18,3249,17.36,2,138,165,0
7,9,2,13,2798,18.81,2,132,265,0
7,5,5,14,3262,18.48,2,132,65,0
7,5,5,9,2740,19.3,2,132,65,0
7,12,5,11,2006,19.68,2,132,132,0
7,1,1,7,2271,19.4,2,163,67,0
7,19,5,14,3841,15.46,1,132,40,0
7,2,2,9,2850,18.08,2,132,80,0
7,19,5,23,2238,19.56,2,132,119,0
7,12,5,21,3468,17.27,1,237,91,0
7,7,7,2,1903,20.56,2,132,254,0
7,24,3,21,2255,19.86,2,132,213,0
7,16,2,20,2045,20.14,2,132,247,0
7,20,6,21,3010,19.18,2,132,213,0
7,13,6,5,2143,20.41,1,132,40,1
7,17,3,11,3621,17,1,138,125,0
7,23,2,8,3268,18.67,1,132,112,1
7,19,5,10,3012,18.81,1,132,25,1
7,4,4,19,3170,16.96,1,132,256,1
7,8,1,14,3119,19.13,1,132,65,1
7,6,6,10,4460,12.83,1,132,25,1
7,1,1,7,1911,20.59,1,132,40,1
7,28,7,17,3780,15.78,1,12,71,1
7,29,1,13,3017,19.24,1,132,33,1
7,12,5,7,2295,13.21,1,132,265,1
7,24,3,9,3393,16.94,1,187,45,0
7,11,4,18,3048,18.8,1,132,66,0
7,23,2,10,2499,18.8,1,132,133,0
7,15,1,9,1299,13.32,1,13,1,1
7,12,5,21,3136,18.12,1,264,264,0
7,18,4,17,4142,17.46,1,209,200,0
7,20,6,11,3086,18.8,1,236,10,0
7,2,2,7,1420,13.04,1,125,1,0
7,9,2,2,2147,19.4,2,161,29,0
7,1,1,0,2953,17.6,1,142,175,0
7,19,5,21,3688,15,2,142,9,0
7,30,2,20,2045,20.07,1,132,26,0
7,8,1,20,3001,8.85,1,218,117,0
7,20,6,20,4494,13.7,2,230,163,0
7,4,4,22,2588,20.3,2,132,14,0
7,14,7,20,3108,19,2,132,25,0
7,8,1,4,2051,19.88,2,170,149,0
7,23,2,5,0,0,2,132,264,0
7,4,4,21,3201,16.7,2,132,55,0
7,16,2,17,2978,18.8,2,132,78,0
7,29,1,2,1748,20.54,1,80,210,1
7,24,3,23,1796,20.18,1,132,67,1
7,6,6,21,2292,19.94,1,132,25,1
7,20,6,0,2093,19.69,1,132,181,1
7,12,5,13,3647,16.5,1,138,125,0
7,18,4,11,3289,17.41,1,100,55,0
7,27,6,17,4266,14.37,1,132,40,1
7,22,1,16,3100,17.83,1,113,132,0
7,15,1,8,2176,19.42,1,48,191,0
7,17,3,13,3666,18.1,2,137,117,0
7,14,7,12,3080,17.54,2,48,55,0
